project
boto3
botocore
urllib3
setuptools
s3transfer
six
idna
requests
python-dateutil
certifi
pyyaml
typing-extensions
awscli
charset-normalizer
wheel
jmespath
click
colorama
pip
numpy
rsa
pyasn1
jinja2
attrs
packaging
markupsafe
pyparsing
importlib-metadata
cffi
cryptography
pytz
pandas
zipp
google-api-core
protobuf
pyjwt
pycparser
oauthlib
chardet
docutils
werkzeug
requests-oauthlib
google-auth
multidict
flask
cachetools
yarl
pyasn1-modules
itsdangerous
aiohttp
wrapt
sqlalchemy
isodate
pyarrow
google-cloud-core
decorator
azure-core
psutil
toml
googleapis-common-protos
py
pillow
websocket-client
google-cloud-storage
async-timeout
scipy
msrest
lxml
pytest
grpcio
jsonschema
greenlet
azure-storage-blob
pluggy
pygments
filelock
tqdm
tabulate
pyrsistent
future
fsspec
soupsieve
pyopenssl
beautifulsoup4
docker
discord-py
google-resumable-media
azure-common
platformdirs
httplib2
google-cloud-bigquery
google-api-python-client
matplotlib
scikit-learn
mypy-extensions
tomli
importlib-resources
joblib
pynacl
gitpython
iniconfig
discord
kiwisolver
smmap
aiobotocore
asn1crypto
gunicorn
gitdb
virtualenv
s3fs
uritemplate
sqlparse
regex
frozenlist
ptyprocess
pexpect
prometheus-client
webencodings
psycopg2-binary
cycler
bcrypt
cloudpickle
mako
paramiko
distlib
cython
openpyxl
requests-toolbelt
et-xmlfile
google-auth-httplib2
futures
coverage
tenacity
defusedxml
prompt-toolkit
ipython
aiosignal
py4j
pycodestyle
mccabe
absl-py
alembic
redis
proto-plus
wcwidth
google-auth-oauthlib
adal
google-crc32c
tzlocal
isort
tornado
traitlets
pathspec
networkx
msal
portalocker
pycryptodomex
markdown
jedi
pymysql
pydantic
entrypoints
parso
bleach
pymongo
pyspark
pickleshare
msgpack
backcall
msal-extensions
deprecated
databricks-cli
pyzmq
azure-identity
pyodbc
termcolor
ipykernel
pbr
tensorflow-serving-api
nest-asyncio
oauth2client
typing-inspect
threadpoolctl
keyring
more-itertools
jeepney
psycopg2
secretstorage
xmltodict
ipython-genutils
pyflakes
ruamel-yaml
argcomplete
cached-property
tensorflow
babel
setuptools-scm
simplejson
jupyter-client
flake8
h11
datadog
appdirs
mistune
nbconvert
nbformat
msrestazure
typed-ast
imageio
ujson
dnspython
jupyter-core
matplotlib-inline
ruamel-yaml-clib
pkginfo
configparser
snowflake-connector-python
sortedcontainers
python-editor
oscrypto
prometheus-flask-exporter
mlflow
pandocfilters
websockets
notebook
smart-open
sentry-sdk
xlrd
nbclient
dill
python-dotenv
sniffio
tensorboard
marshmallow
asynctest
send2trash
lazy-object-proxy
terminado
querystring-parser
pytest-cov
argon2-cffi
jupyterlab-pygments
zope-interface
elasticsearch
scramp
debugpy
testpath
libcst
ipywidgets
widgetsnbextension
h5py
contextlib2
azure-storage-common
